length,prefix,ppl,tokens
256,instruction,11.409671297871286,256
256,baseline,21.215394577844446,256
256,whitespace,21.215394577844446,256
256,punctuation,21.215394577844446,256
256,random_words,21.215394577844446,256
256,instruction,21.215394577844446,256
256,baseline,11.26036151939097,256
256,whitespace,11.26036151939097,256
256,punctuation,11.26036151939097,256
256,random_words,11.26036151939097,256
256,instruction,11.26036151939097,256
256,baseline,28.360130210136443,256
256,whitespace,28.360130210136443,256
256,punctuation,28.360130210136443,256
256,random_words,28.360130210136443,256
256,instruction,28.360130210136443,256
256,baseline,20.109969685208945,256
256,whitespace,20.109969685208945,256
256,punctuation,20.109969685208945,256
256,random_words,20.109969685208945,256
256,instruction,20.109969685208945,256
256,baseline,8.555627719039359,256
256,whitespace,8.555627719039359,256
256,punctuation,8.555627719039359,256
256,random_words,8.555627719039359,256
256,instruction,8.555627719039359,256
256,baseline,18.06147442731642,256
256,whitespace,18.06147442731642,256
256,punctuation,18.06147442731642,256
256,random_words,18.06147442731642,256
256,instruction,18.06147442731642,256
256,baseline,13.824451278895122,256
256,whitespace,13.824451278895122,256
256,punctuation,13.824451278895122,256
256,random_words,13.824451278895122,256
256,instruction,13.824451278895122,256
256,baseline,7.678214707421426,256
256,whitespace,7.678214707421426,256
256,punctuation,7.678214707421426,256
256,random_words,7.678214707421426,256
256,instruction,7.678214707421426,256
256,baseline,14.865928016804661,256
256,whitespace,14.865928016804661,256
256,punctuation,14.865928016804661,256
256,random_words,14.865928016804661,256
256,instruction,14.865928016804661,256
256,baseline,13.377692629609538,256
256,whitespace,13.377692629609538,256
256,punctuation,13.377692629609538,256
256,random_words,13.377692629609538,256
256,instruction,13.377692629609538,256
512,baseline,10.705154915891148,512
512,whitespace,10.705154915891148,512
512,punctuation,10.705154915891148,512
512,random_words,10.705154915891148,512
512,instruction,10.705154915891148,512
512,baseline,18.85377162846994,512
512,whitespace,18.85377162846994,512
512,punctuation,18.85377162846994,512
512,random_words,18.85377162846994,512
512,instruction,18.85377162846994,512
512,baseline,14.902759998373988,512
512,whitespace,14.902759998373988,512
512,punctuation,14.902759998373988,512
512,random_words,14.902759998373988,512
512,instruction,14.902759998373988,512
512,baseline,24.80798721847645,512
512,whitespace,24.80798721847645,512
512,punctuation,24.80798721847645,512
512,random_words,24.80798721847645,512
512,instruction,24.80798721847645,512
512,baseline,10.979683806985907,512
512,whitespace,10.979683806985907,512
512,punctuation,10.979683806985907,512
512,random_words,10.979683806985907,512
512,instruction,10.979683806985907,512
512,baseline,13.532528966217981,512
512,whitespace,13.532528966217981,512
512,punctuation,13.532528966217981,512
512,random_words,13.532528966217981,512
512,instruction,13.532528966217981,512
512,baseline,19.8014177015248,512
512,whitespace,19.8014177015248,512
512,punctuation,19.8014177015248,512
512,random_words,19.8014177015248,512
512,instruction,19.8014177015248,512
512,baseline,17.107828915180676,512
512,whitespace,17.107828915180676,512
512,punctuation,17.107828915180676,512
512,random_words,17.107828915180676,512
512,instruction,17.107828915180676,512
512,baseline,17.671653030098085,512
512,whitespace,17.671653030098085,512
512,punctuation,17.671653030098085,512
512,random_words,17.671653030098085,512
512,instruction,17.671653030098085,512
512,baseline,7.39115280537803,512
512,whitespace,7.39115280537803,512
512,punctuation,7.39115280537803,512
512,random_words,7.39115280537803,512
512,instruction,7.39115280537803,512
512,baseline,10.937125797011356,512
512,whitespace,10.937125797011356,512
512,punctuation,10.937125797011356,512
512,random_words,10.937125797011356,512
512,instruction,10.937125797011356,512
512,baseline,19.966811768130608,512
512,whitespace,19.966811768130608,512
512,punctuation,19.966811768130608,512
512,random_words,19.966811768130608,512
512,instruction,19.966811768130608,512
512,baseline,17.679647373822704,512
512,whitespace,17.679647373822704,512
512,punctuation,17.679647373822704,512
512,random_words,17.679647373822704,512
512,instruction,17.679647373822704,512
512,baseline,17.560768353427328,512
512,whitespace,17.560768353427328,512
512,punctuation,17.560768353427328,512
512,random_words,17.560768353427328,512
512,instruction,17.560768353427328,512
512,baseline,10.12030662667266,512
512,whitespace,10.12030662667266,512
512,punctuation,10.12030662667266,512
512,random_words,10.12030662667266,512
512,instruction,10.12030662667266,512
512,baseline,9.65705053906411,512
512,whitespace,9.65705053906411,512
512,punctuation,9.65705053906411,512
512,random_words,9.65705053906411,512
512,instruction,9.65705053906411,512
512,baseline,9.825537140420316,512
512,whitespace,9.825537140420316,512
512,punctuation,9.825537140420316,512
512,random_words,9.825537140420316,512
512,instruction,9.825537140420316,512
512,baseline,12.27164500515105,512
512,whitespace,12.27164500515105,512
512,punctuation,12.27164500515105,512
512,random_words,12.27164500515105,512
512,instruction,12.27164500515105,512
512,baseline,12.994393235513016,512
512,whitespace,12.994393235513016,512
512,punctuation,12.994393235513016,512
512,random_words,12.994393235513016,512
512,instruction,12.994393235513016,512
512,baseline,13.225252205783297,512
512,whitespace,13.225252205783297,512
512,punctuation,13.225252205783297,512
512,random_words,13.225252205783297,512
512,instruction,13.225252205783297,512
512,baseline,10.72648279920439,512
512,whitespace,10.72648279920439,512
512,punctuation,10.72648279920439,512
512,random_words,10.72648279920439,512
512,instruction,10.72648279920439,512
512,baseline,10.887965744799853,512
512,whitespace,10.887965744799853,512
512,punctuation,10.887965744799853,512
512,random_words,10.887965744799853,512
512,instruction,10.887965744799853,512
512,baseline,13.799625007950421,512
512,whitespace,13.799625007950421,512
512,punctuation,13.799625007950421,512
512,random_words,13.799625007950421,512
512,instruction,13.799625007950421,512
512,baseline,14.509820097993188,512
512,whitespace,14.509820097993188,512
512,punctuation,14.509820097993188,512
512,random_words,14.509820097993188,512
512,instruction,14.509820097993188,512
512,baseline,8.709493961110338,512
512,whitespace,8.709493961110338,512
512,punctuation,8.709493961110338,512
512,random_words,8.709493961110338,512
512,instruction,8.709493961110338,512
512,baseline,13.897717194301928,512
512,whitespace,13.897717194301928,512
512,punctuation,13.897717194301928,512
512,random_words,13.897717194301928,512
512,instruction,13.897717194301928,512
512,baseline,10.897590376888308,512
512,whitespace,10.897590376888308,512
512,punctuation,10.897590376888308,512
512,random_words,10.897590376888308,512
512,instruction,10.897590376888308,512
512,baseline,28.601580565298388,512
512,whitespace,28.601580565298388,512
512,punctuation,28.601580565298388,512
512,random_words,28.601580565298388,512
512,instruction,28.601580565298388,512
512,baseline,12.502170525456625,512
512,whitespace,12.502170525456625,512
512,punctuation,12.502170525456625,512
512,random_words,12.502170525456625,512
512,instruction,12.502170525456625,512
512,baseline,12.162028404168389,512
512,whitespace,12.162028404168389,512
512,punctuation,12.162028404168389,512
512,random_words,12.162028404168389,512
512,instruction,12.162028404168389,512
512,baseline,14.129278719016328,512
512,whitespace,14.129278719016328,512
512,punctuation,14.129278719016328,512
512,random_words,14.129278719016328,512
512,instruction,14.129278719016328,512
512,baseline,10.627921280294053,512
512,whitespace,10.627921280294053,512
512,punctuation,10.627921280294053,512
512,random_words,10.627921280294053,512
512,instruction,10.627921280294053,512
512,baseline,14.043674742670536,512
512,whitespace,14.043674742670536,512
512,punctuation,14.043674742670536,512
512,random_words,14.043674742670536,512
512,instruction,14.043674742670536,512
512,baseline,10.007300976376936,512
512,whitespace,10.007300976376936,512
512,punctuation,10.007300976376936,512
512,random_words,10.007300976376936,512
512,instruction,10.007300976376936,512
512,baseline,10.249830916405466,512
512,whitespace,10.249830916405466,512
512,punctuation,10.249830916405466,512
512,random_words,10.249830916405466,512
512,instruction,10.249830916405466,512
512,baseline,9.552364644731792,512
512,whitespace,9.552364644731792,512
512,punctuation,9.552364644731792,512
512,random_words,9.552364644731792,512
512,instruction,9.552364644731792,512
512,baseline,9.741989804121603,512
512,whitespace,9.741989804121603,512
512,punctuation,9.741989804121603,512
512,random_words,9.741989804121603,512
512,instruction,9.741989804121603,512
512,baseline,11.941045427132977,512
512,whitespace,11.941045427132977,512
512,punctuation,11.941045427132977,512
512,random_words,11.941045427132977,512
512,instruction,11.941045427132977,512
512,baseline,9.81825672484591,512
512,whitespace,9.81825672484591,512
512,punctuation,9.81825672484591,512
512,random_words,9.81825672484591,512
512,instruction,9.81825672484591,512
512,baseline,13.866109515110491,512
512,whitespace,13.866109515110491,512
512,punctuation,13.866109515110491,512
512,random_words,13.866109515110491,512
512,instruction,13.866109515110491,512
512,baseline,11.913549806980738,512
512,whitespace,11.913549806980738,512
512,punctuation,11.913549806980738,512
512,random_words,11.913549806980738,512
512,instruction,11.913549806980738,512
512,baseline,8.394700969812423,512
512,whitespace,8.394700969812423,512
512,punctuation,8.394700969812423,512
512,random_words,8.394700969812423,512
512,instruction,8.394700969812423,512
512,baseline,16.048282971125616,512
512,whitespace,16.048282971125616,512
512,punctuation,16.048282971125616,512
512,random_words,16.048282971125616,512
512,instruction,16.048282971125616,512
512,baseline,19.63497794637074,512
512,whitespace,19.63497794637074,512
512,punctuation,19.63497794637074,512
512,random_words,19.63497794637074,512
512,instruction,19.63497794637074,512
512,baseline,12.528512295911483,512
512,whitespace,12.528512295911483,512
512,punctuation,12.528512295911483,512
512,random_words,12.528512295911483,512
512,instruction,12.528512295911483,512
512,baseline,13.242934244901582,512
512,whitespace,13.242934244901582,512
