length,intervention,ppl,tokens,loss_start,loss_tokens,prefix_len
256,prefix:whitespace:plen32,12.370670730508834,128,160,128,32.0
256,prefix:punctuation:plen32,11.528201339189188,128,160,128,32.0
256,prefix:random_words:plen32,11.603237687398877,128,160,128,32.0
256,prefix:instruction:plen32,11.41159469624914,128,160,128,32.0
256,prefix:whitespace:plen64,13.509331651327127,128,192,128,64.0
256,prefix:punctuation:plen64,11.527167935453853,128,192,128,64.0
256,prefix:random_words:plen64,11.60835670701852,128,192,128,64.0
256,prefix:instruction:plen64,11.406994858658125,128,192,128,64.0
256,prefix:whitespace:plen128,15.071420440360576,128,256,128,128.0
256,prefix:punctuation:plen128,11.555102378668673,128,256,128,128.0
256,prefix:random_words:plen128,11.66516561938042,128,256,128,128.0
256,prefix:instruction:plen128,11.545797147660416,128,256,128,128.0
256,prefix:whitespace:plen256,17.45834474632442,128,384,128,256.0
256,prefix:punctuation:plen256,11.565427035325389,128,384,128,256.0
256,prefix:random_words:plen256,11.704493857318099,128,384,128,256.0
256,prefix:instruction:plen256,11.522955575197127,128,384,128,256.0
256,sinkpos0:eos,11.813129452321071,128,128,128,
256,sinkpos1:eos,11.728257316750405,128,128,128,
256,sinkpos0:exclamation,11.58354362407913,128,128,128,
256,sinkpos1:exclamation,11.566874767586887,128,128,128,
256,baseline,6.07614037727561,128,128,128,
256,prefix:whitespace:plen10,6.486504558814683,128,138,128,10.0
256,prefix:punctuation:plen10,6.0207339433405,128,138,128,10.0
256,prefix:random_words:plen10,6.155664283899433,128,138,128,10.0
256,prefix:instruction:plen10,6.670050778569587,128,138,128,10.0
256,prefix:whitespace:plen32,6.8416240059648565,128,160,128,32.0
256,prefix:punctuation:plen32,6.00634708832845,128,160,128,32.0
256,prefix:random_words:plen32,6.190993409911573,128,160,128,32.0
256,prefix:instruction:plen32,6.694762232003644,128,160,128,32.0
256,prefix:whitespace:plen64,7.431890144854046,128,192,128,64.0
256,prefix:punctuation:plen64,6.021874520227118,128,192,128,64.0
256,prefix:random_words:plen64,6.193804443006338,128,192,128,64.0
256,prefix:instruction:plen64,6.771447256100376,128,192,128,64.0
256,prefix:whitespace:plen128,8.39665061108381,128,256,128,128.0
256,prefix:punctuation:plen128,6.057115934901935,128,256,128,128.0
256,prefix:random_words:plen128,6.204229976561111,128,256,128,128.0
256,prefix:instruction:plen128,6.813081140925283,128,256,128,128.0
256,prefix:whitespace:plen256,9.260237570617173,128,384,128,256.0
256,prefix:punctuation:plen256,6.093913913614146,128,384,128,256.0
256,prefix:random_words:plen256,6.236872823175269,128,384,128,256.0
256,prefix:instruction:plen256,6.934456603822352,128,384,128,256.0
256,sinkpos0:eos,6.065048670953596,128,128,128,
256,sinkpos1:eos,6.159243393099813,128,128,128,
256,sinkpos0:exclamation,6.0661094195827765,128,128,128,
256,sinkpos1:exclamation,6.110147708457161,128,128,128,
256,baseline,21.791216320979455,128,128,128,
256,prefix:whitespace:plen10,22.423656196040486,128,138,128,10.0
256,prefix:punctuation:plen10,21.75690156939264,128,138,128,10.0
256,prefix:random_words:plen10,21.464011303958152,128,138,128,10.0
256,prefix:instruction:plen10,21.237727915184692,128,138,128,10.0
256,prefix:whitespace:plen32,24.754517025401782,128,160,128,32.0
256,prefix:punctuation:plen32,21.77022650499617,128,160,128,32.0
256,prefix:random_words:plen32,21.436149703522343,128,160,128,32.0
256,prefix:instruction:plen32,21.504328326995076,128,160,128,32.0
256,prefix:whitespace:plen64,26.177049180274146,128,192,128,64.0
256,prefix:punctuation:plen64,21.69702469639919,128,192,128,64.0
256,prefix:random_words:plen64,21.464656108446995,128,192,128,64.0
256,prefix:instruction:plen64,21.624362896986113,128,192,128,64.0
256,prefix:whitespace:plen128,31.15076983524858,128,256,128,128.0
256,prefix:punctuation:plen128,21.55692924563098,128,256,128,128.0
256,prefix:random_words:plen128,21.33660895883943,128,256,128,128.0
256,prefix:instruction:plen128,21.737178217417192,128,256,128,128.0
256,prefix:whitespace:plen256,43.293035591739354,128,384,128,256.0
256,prefix:punctuation:plen256,21.441593371426418,128,384,128,256.0
256,prefix:random_words:plen256,21.343141723208415,128,384,128,256.0
256,prefix:instruction:plen256,21.69710746413784,128,384,128,256.0
256,sinkpos0:eos,21.309725620461478,128,128,128,
256,sinkpos1:eos,21.546945369059486,128,128,128,
256,sinkpos0:exclamation,21.729120850297868,128,128,128,
256,sinkpos1:exclamation,21.89750304050648,128,128,128,
256,baseline,22.81469687800021,128,128,128,
256,prefix:whitespace:plen10,23.289733428745546,128,138,128,10.0
256,prefix:punctuation:plen10,22.56341768693157,128,138,128,10.0
256,prefix:random_words:plen10,23.064699300485763,128,138,128,10.0
256,prefix:instruction:plen10,23.08858304624941,128,138,128,10.0
256,prefix:whitespace:plen32,24.837637495404838,128,160,128,32.0
256,prefix:punctuation:plen32,22.318838103526126,128,160,128,32.0
256,prefix:random_words:plen32,22.927325763304136,128,160,128,32.0
256,prefix:instruction:plen32,23.192625285017304,128,160,128,32.0
256,prefix:whitespace:plen64,25.940420596419223,128,192,128,64.0
256,prefix:punctuation:plen64,22.219425535499475,128,192,128,64.0
256,prefix:random_words:plen64,22.76546324230894,128,192,128,64.0
256,prefix:instruction:plen64,23.660842317293636,128,192,128,64.0
256,prefix:whitespace:plen128,30.28386212044567,128,256,128,128.0
256,prefix:punctuation:plen128,22.214568237110136,128,256,128,128.0
256,prefix:random_words:plen128,22.71255580073853,128,256,128,128.0
256,prefix:instruction:plen128,23.855372835345538,128,256,128,128.0
